county,kits_per_100k_2018_2025
Alameda,"23,851.20"
Alpine,"83,361.90"
Amador,"58,617.50"
Butte,"34,908.00"
Calaveras,"14,852.80"
Colusa,"9,865.80"
Contra Costa,"9,224.50"
Del Norte,"81,306.60"
El Dorado,"14,793"
Fresno,"16,349.40"
Glenn,"16,267.90"
Humboldt,"93,887.20"
Imperial,"27,114.20"
Inyo,"94,774.10"
Kern,"33,781.80"
Kings,"38,250.90"
Lake,"89,049.90"
Lassen,"76,152.90"
Los Angeles,"20,059.20"
Madera,"33,118.60"
Marin,"37,844.10"
Mariposa,"8,287.70"
Mendocino,"72,841.10"
Merced,"8,364.10"
Modoc,"26,858.30"
Mono,"42,595.20"
Monterey,"47,832.80"
Napa,"18,086.80"
Nevada,"48,603.70"
Orange,"15,237.70"
Placer,"8,422.10"
Plumas,"36,888.30"
Riverside,"13,843.90"
Sacramento,"34,154.40"
San Benito,"16,373.50"
San Bernadino,"7,231.10"
San Diego,"16,086.00"
San Francisco,"68,870.30"
San Joaquin,"8,920.80"
San Luis Obispo,"36,119.90"
San Mateo,"6,168.00"
Santa Barbara,"16,099.70"
Santa Clara,"10,429.40"
Santa Cruz,"55,964.20"
Shasta,"29,533.60"
Sierra,"48,291.30"
Siskiyou,"39,889.90"
Solano,"20,319.50"
Sonoma,"28,184.10"
Stanislaus,"21,233.40"
Sutter,"16,656.40"
Tehama,"18,389.30"
Trinity,"16,397.80"
Tulare,"4,373.50"
Tuolumne,"77,675.30"
Ventura,"11,204.30"
Yolo,"12,336.90"
Yuba,"37,760.10"