"Notes","Residence County","Residence County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"San Francisco County, CA","06075","2019","2019",402,881549,45.60,41.14,50.06
,"San Francisco County, CA","06075","2020","2020",547,866606,63.12,57.83,68.41
,"San Francisco County, CA","06075","2021","2021",554,815201,67.96,62.30,73.62
,"San Francisco County, CA","06075","2022","2022",475,808437,58.76,53.47,64.04
,"San Francisco County, CA","06075","2023","2023",618,808988,76.39,70.37,82.41
,"San Francisco County, CA","06075","2024","2024",493,827526,59.58,54.32,64.83
,"San Joaquin County, CA","06077","2018","2018",122,752660,16.21,13.33,19.09
,"San Joaquin County, CA","06077","2019","2019",124,762148,16.27,13.41,19.13
,"San Joaquin County, CA","06077","2020","2020",161,767967,20.96,17.73,24.20
,"San Joaquin County, CA","06077","2021","2021",210,789410,26.60,23.00,30.20
,"San Joaquin County, CA","06077","2022","2022",176,793229,22.19,18.91,25.47
,"San Joaquin County, CA","06077","2023","2023",254,800965,31.71,27.81,35.61
,"San Joaquin County, CA","06077","2024","2024",201,816108,24.63,21.22,28.03
,"San Luis Obispo County, CA","06079","2018","2018",44,284010,15.49,11.26,20.80
,"San Luis Obispo County, CA","06079","2019","2019",52,283111,18.37,13.72,24.09
,"San Luis Obispo County, CA","06079","2020","2020",84,282249,29.76,23.74,36.85
,"San Luis Obispo County, CA","06079","2021","2021",116,283159,40.97,33.51,48.42
,"San Luis Obispo County, CA","06079","2022","2022",92,282013,32.62,26.30,40.01
,"San Luis Obispo County, CA","06079","2023","2023",101,281639,35.86,28.87,42.86
,"San Luis Obispo County, CA","06079","2024","2024",67,281843,23.77,18.42,30.19
,"San Mateo County, CA","06081","2018","2018",66,769545,8.58,6.63,10.91
,"San Mateo County, CA","06081","2019","2019",99,766573,12.91,10.50,15.72
,"San Mateo County, CA","06081","2020","2020",123,758308,16.22,13.35,19.09
,"San Mateo County, CA","06081","2021","2021",137,737888,18.57,15.46,21.68
,"San Mateo County, CA","06081","2022","2022",113,729181,15.50,12.64,18.35
,"San Mateo County, CA","06081","2023","2023",120,726353,16.52,13.56,19.48
,"San Mateo County, CA","06081","2024","2024",87,742893,11.71,9.38,14.45
,"Santa Barbara County, CA","06083","2018","2018",72,446527,16.12,12.62,20.31
,"Santa Barbara County, CA","06083","2019","2019",81,446499,18.14,14.41,22.55
,"Santa Barbara County, CA","06083","2020","2020",89,444766,20.01,16.07,24.62
,"Santa Barbara County, CA","06083","2021","2021",125,446475,28.00,23.09,32.91
,"Santa Barbara County, CA","06083","2022","2022",129,443837,29.06,24.05,34.08
,"Santa Barbara County, CA","06083","2023","2023",146,441257,33.09,27.72,38.45
,"Santa Barbara County, CA","06083","2024","2024",92,444500,20.70,16.69,25.38
,"Santa Clara County, CA","06085","2018","2018",175,1937570,9.03,7.69,10.37
,"Santa Clara County, CA","06085","2019","2019",216,1927852,11.20,9.71,12.70
,"Santa Clara County, CA","06085","2020","2020",302,1907105,15.84,14.05,17.62
,"Santa Clara County, CA","06085","2021","2021",321,1885508,17.02,15.16,18.89
,"Santa Clara County, CA","06085","2022","2022",363,1870945,19.40,17.41,21.40
,"Santa Clara County, CA","06085","2023","2023",357,1877592,19.01,17.04,20.99
,"Santa Clara County, CA","06085","2024","2024",279,1926325,14.48,12.78,16.18
,"Santa Cruz County, CA","06087","2018","2018",42,274255,15.31,11.04,20.70
,"Santa Cruz County, CA","06087","2019","2019",54,273213,19.76,14.85,25.79
,"Santa Cruz County, CA","06087","2020","2020",60,269925,22.23,16.96,28.61
,"Santa Cruz County, CA","06087","2021","2021",83,267792,30.99,24.69,38.42
,"Santa Cruz County, CA","06087","2022","2022",93,264370,35.18,28.39,43.10
,"Santa Cruz County, CA","06087","2023","2023",136,261547,52.00,43.26,60.74
,"Santa Cruz County, CA","06087","2024","2024",95,262406,36.20,29.29,44.26
,"Shasta County, CA","06089","2018","2018",34,180040,18.88,13.08,26.39
,"Shasta County, CA","06089","2019","2019",36,180080,19.99,14.00,27.68
,"Shasta County, CA","06089","2020","2020",50,179027,27.93,20.73,36.82
,"Shasta County, CA","06089","2021","2021",75,182139,41.18,32.39,51.62
,"Shasta County, CA","06089","2022","2022",66,180930,36.48,28.21,46.41
,"Shasta County, CA","06089","2023","2023",84,180366,46.57,37.15,57.66
,"Shasta County, CA","06089","2024","2024",64,181121,35.34,27.21,45.12
,"Siskiyou County, CA","06093","2020","2020",10,43245,23.12,11.09,42.53
,"Siskiyou County, CA","06093","2021","2021",18,44118,40.80,24.18,64.48
,"Siskiyou County, CA","06093","2022","2022",23,43660,52.68,33.39,79.05
,"Siskiyou County, CA","06093","2023","2023",18,42905,41.95,24.86,66.30
,"Siskiyou County, CA","06093","2024","2024",10,42498,23.53,11.28,43.27
,"Solano County, CA","06095","2018","2018",79,446610,17.69,14.00,22.05
,"Solano County, CA","06095","2019","2019",77,447643,17.20,13.57,21.50
,"Solano County, CA","06095","2020","2020",80,446935,17.90,14.19,22.28
,"Solano County, CA","06095","2021","2021",120,451716,26.57,21.81,31.32
,"Solano County, CA","06095","2022","2022",134,448747,29.86,24.80,34.92
,"Solano County, CA","06095","2023","2023",142,449218,31.61,26.41,36.81
,"Solano County, CA","06095","2024","2024",119,455101,26.15,21.45,30.85
,"Sonoma County, CA","06097","2018","2018",78,499942,15.60,12.33,19.47
,"Sonoma County, CA","06097","2019","2019",100,494336,20.23,16.26,24.19
,"Sonoma County, CA","06097","2020","2020",146,489819,29.81,24.97,34.64
,"Sonoma County, CA","06097","2021","2021",159,485887,32.72,27.64,37.81
,"Sonoma County, CA","06097","2022","2022",120,482650,24.86,20.41,29.31
,"Sonoma County, CA","06097","2023","2023",133,481812,27.60,22.91,32.30
,"Sonoma County, CA","06097","2024","2024",112,485375,23.07,18.80,27.35
,"Stanislaus County, CA","06099","2018","2018",79,549815,14.37,11.38,17.91
,"Stanislaus County, CA","06099","2019","2019",83,550660,15.07,12.01,18.69
,"Stanislaus County, CA","06099","2020","2020",130,550081,23.63,19.57,27.70
,"Stanislaus County, CA","06099","2021","2021",164,552999,29.66,25.12,34.20
,"Stanislaus County, CA","06099","2022","2022",181,551275,32.83,28.05,37.62
,"Stanislaus County, CA","06099","2023","2023",189,551430,34.27,29.39,39.16
,"Stanislaus County, CA","06099","2024","2024",162,556972,29.09,24.61,33.56
,"Sutter County, CA","06101","2018","2018",16,96807,16.53,9.45,26.84
,"Sutter County, CA","06101","2020","2020",17,96385,17.64,10.27,28.24
,"Sutter County, CA","06101","2021","2021",35,99063,35.33,24.61,49.14
,"Sutter County, CA","06101","2022","2022",38,98503,38.58,27.30,52.95
,"Sutter County, CA","06101","2023","2023",23,97948,23.48,14.89,35.23
,"Sutter County, CA","06101","2024","2024",25,98545,25.37,16.42,37.45
,"Tehama County, CA","06103","2021","2021",22,65498,33.59,21.05,50.85
,"Tehama County, CA","06103","2022","2022",29,65245,44.45,29.77,63.83
,"Tehama County, CA","06103","2023","2023",42,64896,64.72,46.64,87.48
,"Tehama County, CA","06103","2024","2024",36,64451,55.86,39.12,77.33
,"Tulare County, CA","06107","2018","2018",53,465861,11.38,8.52,14.88
,"Tulare County, CA","06107","2019","2019",41,466195,8.79,6.31,11.93
,"Tulare County, CA","06107","2020","2020",71,468680,15.15,11.83,19.11
,"Tulare County, CA","06107","2021","2021",92,477054,19.29,15.55,23.65
,"Tulare County, CA","06107","2022","2022",103,477544,21.57,17.40,25.73
,"Tulare County, CA","06107","2023","2023",111,479468,23.15,18.84,27.46
,"Tulare County, CA","06107","2024","2024",101,483546,20.89,16.81,24.96
,"Tuolumne County, CA","06109","2019","2019",12,54478,22.03,11.38,38.48
,"Tuolumne County, CA","06109","2020","2020",10,54515,18.34,8.80,33.73
,"Tuolumne County, CA","06109","2021","2021",17,55810,30.46,17.74,48.77
,"Tuolumne County, CA","06109","2022","2022",20,54531,36.68,22.40,56.64
,"Tuolumne County, CA","06109","2023","2023",21,54204,38.74,23.98,59.22
,"Tuolumne County, CA","06109","2024","2024",25,53893,46.39,30.02,68.48
,"Ventura County, CA","06111","2018","2018",135,850967,15.86,13.19,18.54
,"Ventura County, CA","06111","2019","2019",136,846006,16.08,13.37,18.78
,"Ventura County, CA","06111","2020","2020",190,841387,22.58,19.37,25.79
,"Ventura County, CA","06111","2021","2021",264,839784,31.44,27.64,35.23
,"Ventura County, CA","06111","2022","2022",247,832605,29.67,25.97,33.37
,"Ventura County, CA","06111","2023","2023",266,829590,32.06,28.21,35.92
,"Ventura County, CA","06111","2024","2024",170,835427,20.35,17.29,23.41
,"Yolo County, CA","06113","2018","2018",20,220408,9.07,5.54,14.01
,"Yolo County, CA","06113","2019","2019",27,220500,12.24,8.07,17.82
,"Yolo County, CA","06113","2020","2020",32,219728,14.56,9.96,20.56
,"Yolo County, CA","06113","2021","2021",33,216986,15.21,10.47,21.36
,"Yolo County, CA","06113","2022","2022",45,222115,20.26,14.78,27.11
,"Yolo County, CA","06113","2023","2023",43,220544,19.50,14.11,26.26
,"Yolo County, CA","06113","2024","2024",46,225251,20.42,14.95,27.24
,"Yuba County, CA","06115","2018","2018",14,78041,17.94,9.81,30.10
,"Yuba County, CA","06115","2019","2019",12,78668,15.25,7.88,26.65
,"Yuba County, CA","06115","2020","2020",17,80160,21.21,12.35,33.96
,"Yuba County, CA","06115","2021","2021",26,83421,31.17,20.36,45.67
,"Yuba County, CA","06115","2022","2022",39,84310,46.26,32.89,63.24
,"Yuba County, CA","06115","2023","2023",33,85722,38.50,26.50,54.06
,"Yuba County, CA","06115","2024","2024",32,87469,36.58,25.02,51.65
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Residence States: California (06)"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Year/Month: 2018; 2019; 2020; 2021; 2022; 2023; 2024"
"Group By: Residence County; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 26, 2026 7:20:39 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 26, 2026"
"7:20:39 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"3. The population estimates for years 2022 - 2026 are from separate series of estimates based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). Each subsequent series of estimates adjusts the methodology. The"
"population figures for years 2024 and later are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 26, 2025. The population figures for year 2023 are single-race estimates"
"of the July 1 resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The"
"population figures for year 2022 are single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal"
"series released by the Census Bureau on June 22, 2023. The population figures for year 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"5. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"6. Deaths occurring through February 14, 2026 as of February 22, 2026."