"county","fips","year","deaths","population","overdose_rate","kits_per_100k_2018_2025","urban_rural_code"
"Alameda",6001,2018,191,1666753,11.46,23851.2,1
"Alameda",6001,2019,250,1671329,14.96,23851.2,1
"Alameda",6001,2020,320,1662323,19.25,23851.2,1
"Alameda",6001,2021,332,1648556,20.14,23851.2,1
"Alameda",6001,2022,331,1628997,20.32,23851.2,1
"Alameda",6001,2023,414,1622188,25.52,23851.2,1
"Amador",6005,2019,13,39752,32.7,58617.5,6
"Amador",6005,2021,11,41259,26.66,58617.5,6
"Butte",6007,2018,59,231256,25.51,34908,4
"Butte",6007,2019,55,219186,25.09,34908,4
"Butte",6007,2020,70,212744,32.9,34908,4
"Butte",6007,2021,120,208309,57.61,34908,4
"Butte",6007,2022,111,207303,53.54,34908,4
"Butte",6007,2023,136,207172,65.65,34908,4
"Calaveras",6009,2019,12,45905,26.14,14852.8,6
"Calaveras",6009,2021,12,46221,25.96,14852.8,6
"Calaveras",6009,2023,17,46565,36.51,14852.8,6
"Contra Costa",6013,2018,162,1150215,14.08,9224.5,2
"Contra Costa",6013,2019,164,1153526,14.22,9224.5,2
"Contra Costa",6013,2020,234,1152333,20.31,9224.5,2
"Contra Costa",6013,2021,265,1161413,22.82,9224.5,2
"Contra Costa",6013,2022,253,1156966,21.87,9224.5,2
"Contra Costa",6013,2023,272,1155025,23.55,9224.5,2
"Del Norte",6015,2021,10,28100,35.59,81306.6,5
"Del Norte",6015,2022,29,27082,107.08,81306.6,5
"Del Norte",6015,2023,24,26589,90.26,81306.6,5
"El Dorado",6017,2018,34,190678,17.83,14793,2
"El Dorado",6017,2019,32,192843,16.59,14793,2
"El Dorado",6017,2020,39,192925,20.22,14793,2
"El Dorado",6017,2021,49,193221,25.36,14793,2
"El Dorado",6017,2022,48,192646,24.92,14793,2
"El Dorado",6017,2023,40,192215,20.81,14793,2
"Fresno",6019,2018,110,994400,11.06,16349.4,1
"Fresno",6019,2019,133,999101,13.31,16349.4,1
"Fresno",6019,2020,171,1000918,17.08,16349.4,1
"Fresno",6019,2021,200,1013581,19.73,16349.4,1
"Fresno",6019,2022,223,1015190,21.97,16349.4,1
"Fresno",6019,2023,237,1017162,23.3,16349.4,1
"Glenn",6021,2020,12,28283,42.43,16267.9,6
"Glenn",6021,2021,12,28805,41.66,16267.9,6
"Glenn",6021,2022,11,28339,38.82,16267.9,6
"Glenn",6021,2023,15,28129,53.33,16267.9,6
"Humboldt",6023,2018,33,136373,24.2,93887.2,5
"Humboldt",6023,2019,36,135558,26.56,93887.2,5
"Humboldt",6023,2020,41,134977,30.38,93887.2,5
"Humboldt",6023,2021,59,136310,43.28,93887.2,5
"Humboldt",6023,2022,91,135010,67.4,93887.2,5
"Humboldt",6023,2023,76,133985,56.72,93887.2,5
"Imperial",6025,2018,43,181827,23.65,27114.2,4
"Imperial",6025,2019,30,181215,16.55,27114.2,4
"Imperial",6025,2020,64,180267,35.5,27114.2,4
"Imperial",6025,2021,19,179851,10.56,27114.2,4
"Imperial",6025,2022,31,178713,17.35,27114.2,4
"Imperial",6025,2023,22,179057,12.29,27114.2,4
"Inyo",6027,2021,12,18970,63.26,94774.1,5
"Inyo",6027,2023,10,18527,53.98,94774.1,5
"Kern",6029,2018,228,896764,25.42,33781.8,3
"Kern",6029,2019,262,900202,29.1,33781.8,3
"Kern",6029,2020,361,901362,40.05,33781.8,3
"Kern",6029,2021,492,917673,53.61,33781.8,3
"Kern",6029,2022,491,916108,53.6,33781.8,3
"Kern",6029,2023,500,913820,54.72,33781.8,3
"Kings",6031,2018,20,151366,13.21,38250.9,4
"Kings",6031,2019,25,152940,16.35,38250.9,4
"Kings",6031,2020,22,152692,14.41,38250.9,4
"Kings",6031,2021,29,153443,18.9,38250.9,4
"Kings",6031,2022,31,152981,20.26,38250.9,4
"Kings",6031,2023,27,152682,17.68,38250.9,4
"Lake",6033,2018,44,64382,68.34,89049.9,5
"Lake",6033,2019,47,64386,73,89049.9,5
"Lake",6033,2020,46,64479,71.34,89049.9,5
"Lake",6033,2021,67,68766,97.43,89049.9,5
"Lake",6033,2022,61,68191,89.45,89049.9,5
"Lake",6033,2023,48,67878,70.72,89049.9,5
"Lassen",6035,2019,12,30573,39.25,76152.9,5
"Lassen",6035,2022,19,29904,63.54,76152.9,5
"Lassen",6035,2023,19,28861,65.83,76152.9,5
"Los Angeles",6037,2018,988,10105518,9.78,20059.2,1
"Los Angeles",6037,2019,1267,10039107,12.62,20059.2,1
"Los Angeles",6037,2020,2021,9943046,20.33,20059.2,1
"Los Angeles",6037,2021,2322,9829544,23.62,20059.2,1
"Los Angeles",6037,2022,2440,9721138,25.1,20059.2,1
"Los Angeles",6037,2023,2335,9663345,24.16,20059.2,1
"Madera",6039,2018,12,157672,7.61,33118.6,2
"Madera",6039,2019,30,157327,19.07,33118.6,2
"Madera",6039,2020,22,157761,13.95,33118.6,2
"Madera",6039,2021,35,159410,21.96,33118.6,2
"Madera",6039,2022,30,160256,18.72,33118.6,2
"Madera",6039,2023,34,162858,20.88,33118.6,2
"Marin",6041,2018,32,259666,12.32,37844.1,2
"Marin",6041,2019,43,258826,16.61,37844.1,2
"Marin",6041,2020,55,257332,21.37,37844.1,2
"Marin",6041,2021,65,260206,24.98,37844.1,2
"Marin",6041,2022,63,256018,24.61,37844.1,2
"Marin",6041,2023,60,254407,23.58,37844.1,2
"Mendocino",6045,2018,31,87606,35.39,72841.1,5
"Mendocino",6045,2019,42,86749,48.42,72841.1,5
"Mendocino",6045,2020,41,86061,47.64,72841.1,5
"Mendocino",6045,2021,73,91305,79.95,72841.1,5
"Mendocino",6045,2022,65,89783,72.4,72841.1,5
"Mendocino",6045,2023,53,89108,59.48,72841.1,5
"Merced",6047,2018,38,274765,13.83,8364.1,3
"Merced",6047,2019,45,277680,16.21,8364.1,3
"Merced",6047,2020,53,279252,18.98,8364.1,3
"Merced",6047,2021,55,286461,19.2,8364.1,3
"Merced",6047,2022,71,290014,24.48,8364.1,3
"Merced",6047,2023,64,291920,21.92,8364.1,3
"Monterey",6053,2018,49,435594,11.25,47832.8,3
"Monterey",6053,2019,64,434061,14.74,47832.8,3
"Monterey",6053,2020,98,430906,22.74,47832.8,3
"Monterey",6053,2021,98,437325,22.41,47832.8,3
"Monterey",6053,2022,90,432858,20.79,47832.8,3
"Monterey",6053,2023,135,430723,31.34,47832.8,3
"Napa",6055,2018,17,139417,12.19,18086.8,4
"Napa",6055,2019,17,137744,12.34,18086.8,4
"Napa",6055,2020,20,135965,14.71,18086.8,4
"Napa",6055,2021,21,136207,15.42,18086.8,4
"Napa",6055,2022,35,134300,26.06,18086.8,4
"Napa",6055,2023,22,133216,16.51,18086.8,4
"Nevada",6057,2018,15,99696,15.05,48603.7,5
"Nevada",6057,2019,16,99755,16.04,48603.7,5
"Nevada",6057,2020,37,99606,37.15,48603.7,5
"Nevada",6057,2021,43,103487,41.55,48603.7,5
"Nevada",6057,2022,34,102293,33.24,48603.7,5
"Nevada",6057,2023,47,102037,46.06,48603.7,5
"Orange",6059,2018,416,3185968,13.06,15237.7,1
"Orange",6059,2019,408,3175692,12.85,15237.7,1
"Orange",6059,2020,653,3166857,20.62,15237.7,1
"Orange",6059,2021,932,3167809,29.42,15237.7,1
"Orange",6059,2022,809,3151184,25.67,15237.7,1
"Orange",6059,2023,761,3135755,24.27,15237.7,1
"Placer",6061,2018,44,393149,11.19,8422.1,2
"Placer",6061,2019,63,398329,15.82,8422.1,2
"Placer",6061,2020,67,402950,16.63,8422.1,2
"Placer",6061,2021,78,412300,18.92,8422.1,2
"Placer",6061,2022,88,417772,21.06,8422.1,2
"Placer",6061,2023,78,423561,18.42,8422.1,2
"Riverside",6065,2018,440,2450758,17.95,13843.9,1
"Riverside",6065,2019,460,2470546,18.62,13843.9,1
"Riverside",6065,2020,695,2489188,27.92,13843.9,1
"Riverside",6065,2021,830,2458395,33.76,13843.9,1
"Riverside",6065,2022,875,2473902,35.37,13843.9,1
"Riverside",6065,2023,873,2492442,35.03,13843.9,1
"Sacramento",6067,2018,249,1540975,16.16,34154.4,1
"Sacramento",6067,2019,321,1552058,20.68,34154.4,1
"Sacramento",6067,2020,290,1559146,18.6,34154.4,1
"Sacramento",6067,2021,497,1588921,31.28,34154.4,1
"Sacramento",6067,2022,562,1584169,35.48,34154.4,1
"Sacramento",6067,2023,638,1584288,40.27,34154.4,1
"San Benito",6069,2020,10,64055,15.61,16373.5,2
"San Benito",6069,2021,15,66677,22.5,16373.5,2
"San Benito",6069,2022,16,67579,23.68,16373.5,2
"San Benito",6069,2023,17,68175,24.94,16373.5,2
"San Bernardino",6071,2018,278,2171603,12.8,NA,2
"San Bernardino",6071,2019,252,2180085,11.56,NA,2
"San Bernardino",6071,2020,518,2189183,23.66,NA,2
"San Bernardino",6071,2021,559,2194710,25.47,NA,2
"San Bernardino",6071,2022,515,2193656,23.48,NA,2
"San Bernardino",6071,2023,602,2195611,27.42,NA,2
"San Diego",6073,2018,481,3343364,14.39,16086,1
"San Diego",6073,2019,483,3338330,14.47,16086,1
"San Diego",6073,2020,760,3332427,22.81,16086,1
"San Diego",6073,2021,980,3286069,29.82,16086,1
"San Diego",6073,2022,997,3276208,30.43,16086,1
"San Diego",6073,2023,928,3269973,28.38,16086,1
"San Francisco",6075,2018,237,883305,26.83,68870.3,1
"San Francisco",6075,2019,402,881549,45.6,68870.3,1
"San Francisco",6075,2020,547,866606,63.12,68870.3,1
"San Francisco",6075,2021,554,815201,67.96,68870.3,1
"San Francisco",6075,2022,475,808437,58.76,68870.3,1
"San Francisco",6075,2023,618,808988,76.39,68870.3,1
"San Joaquin",6077,2018,122,752660,16.21,8920.8,3
"San Joaquin",6077,2019,124,762148,16.27,8920.8,3
"San Joaquin",6077,2020,161,767967,20.96,8920.8,3
"San Joaquin",6077,2021,210,789410,26.6,8920.8,3
"San Joaquin",6077,2022,176,793229,22.19,8920.8,3
"San Joaquin",6077,2023,254,800965,31.71,8920.8,3
"San Luis Obispo",6079,2018,44,284010,15.49,36119.9,3
"San Luis Obispo",6079,2019,52,283111,18.37,36119.9,3
"San Luis Obispo",6079,2020,84,282249,29.76,36119.9,3
"San Luis Obispo",6079,2021,116,283159,40.97,36119.9,3
"San Luis Obispo",6079,2022,92,282013,32.62,36119.9,3
"San Luis Obispo",6079,2023,101,281639,35.86,36119.9,3
"San Mateo",6081,2018,66,769545,8.58,6168,2
"San Mateo",6081,2019,99,766573,12.91,6168,2
"San Mateo",6081,2020,123,758308,16.22,6168,2
"San Mateo",6081,2021,137,737888,18.57,6168,2
"San Mateo",6081,2022,113,729181,15.5,6168,2
"San Mateo",6081,2023,120,726353,16.52,6168,2
"Santa Barbara",6083,2018,72,446527,16.12,16099.7,3
"Santa Barbara",6083,2019,81,446499,18.14,16099.7,3
"Santa Barbara",6083,2020,89,444766,20.01,16099.7,3
"Santa Barbara",6083,2021,125,446475,28,16099.7,3
"Santa Barbara",6083,2022,129,443837,29.06,16099.7,3
"Santa Barbara",6083,2023,146,441257,33.09,16099.7,3
"Santa Clara",6085,2018,175,1937570,9.03,10429.4,1
"Santa Clara",6085,2019,216,1927852,11.2,10429.4,1
"Santa Clara",6085,2020,302,1907105,15.84,10429.4,1
"Santa Clara",6085,2021,321,1885508,17.02,10429.4,1
"Santa Clara",6085,2022,363,1870945,19.4,10429.4,1
"Santa Clara",6085,2023,357,1877592,19.01,10429.4,1
"Santa Cruz",6087,2018,42,274255,15.31,55964.2,3
"Santa Cruz",6087,2019,54,273213,19.76,55964.2,3
"Santa Cruz",6087,2020,60,269925,22.23,55964.2,3
"Santa Cruz",6087,2021,83,267792,30.99,55964.2,3
"Santa Cruz",6087,2022,93,264370,35.18,55964.2,3
"Santa Cruz",6087,2023,136,261547,52,55964.2,3
"Shasta",6089,2018,34,180040,18.88,29533.6,4
"Shasta",6089,2019,36,180080,19.99,29533.6,4
"Shasta",6089,2020,50,179027,27.93,29533.6,4
"Shasta",6089,2021,75,182139,41.18,29533.6,4
"Shasta",6089,2022,66,180930,36.48,29533.6,4
"Shasta",6089,2023,84,180366,46.57,29533.6,4
"Siskiyou",6093,2020,10,43245,23.12,39889.9,6
"Siskiyou",6093,2021,18,44118,40.8,39889.9,6
"Siskiyou",6093,2022,23,43660,52.68,39889.9,6
"Siskiyou",6093,2023,18,42905,41.95,39889.9,6
"Solano",6095,2018,79,446610,17.69,20319.5,3
"Solano",6095,2019,77,447643,17.2,20319.5,3
"Solano",6095,2020,80,446935,17.9,20319.5,3
"Solano",6095,2021,120,451716,26.57,20319.5,3
"Solano",6095,2022,134,448747,29.86,20319.5,3
"Solano",6095,2023,142,449218,31.61,20319.5,3
"Sonoma",6097,2018,78,499942,15.6,28184.1,3
"Sonoma",6097,2019,100,494336,20.23,28184.1,3
"Sonoma",6097,2020,146,489819,29.81,28184.1,3
"Sonoma",6097,2021,159,485887,32.72,28184.1,3
"Sonoma",6097,2022,120,482650,24.86,28184.1,3
"Sonoma",6097,2023,133,481812,27.6,28184.1,3
"Stanislaus",6099,2018,79,549815,14.37,21233.4,3
"Stanislaus",6099,2019,83,550660,15.07,21233.4,3
"Stanislaus",6099,2020,130,550081,23.63,21233.4,3
"Stanislaus",6099,2021,164,552999,29.66,21233.4,3
"Stanislaus",6099,2022,181,551275,32.83,21233.4,3
"Stanislaus",6099,2023,189,551430,34.27,21233.4,3
"Sutter",6101,2018,16,96807,16.53,16656.4,4
"Sutter",6101,2020,17,96385,17.64,16656.4,4
"Sutter",6101,2021,35,99063,35.33,16656.4,4
"Sutter",6101,2022,38,98503,38.58,16656.4,4
"Sutter",6101,2023,23,97948,23.48,16656.4,4
"Tehama",6103,2021,22,65498,33.59,18389.3,5
"Tehama",6103,2022,29,65245,44.45,18389.3,5
"Tehama",6103,2023,42,64896,64.72,18389.3,5
"Tulare",6107,2018,53,465861,11.38,4373.5,3
"Tulare",6107,2019,41,466195,8.79,4373.5,3
"Tulare",6107,2020,71,468680,15.15,4373.5,3
"Tulare",6107,2021,92,477054,19.29,4373.5,3
"Tulare",6107,2022,103,477544,21.57,4373.5,3
"Tulare",6107,2023,111,479468,23.15,4373.5,3
"Tuolumne",6109,2019,12,54478,22.03,77675.3,5
"Tuolumne",6109,2020,10,54515,18.34,77675.3,5
"Tuolumne",6109,2021,17,55810,30.46,77675.3,5
"Tuolumne",6109,2022,20,54531,36.68,77675.3,5
"Tuolumne",6109,2023,21,54204,38.74,77675.3,5
"Ventura",6111,2018,135,850967,15.86,11204.3,3
"Ventura",6111,2019,136,846006,16.08,11204.3,3
"Ventura",6111,2020,190,841387,22.58,11204.3,3
"Ventura",6111,2021,264,839784,31.44,11204.3,3
"Ventura",6111,2022,247,832605,29.67,11204.3,3
"Ventura",6111,2023,266,829590,32.06,11204.3,3
"Yolo",6113,2018,20,220408,9.07,12336.9,2
"Yolo",6113,2019,27,220500,12.24,12336.9,2
"Yolo",6113,2020,32,219728,14.56,12336.9,2
"Yolo",6113,2021,33,216986,15.21,12336.9,2
"Yolo",6113,2022,45,222115,20.26,12336.9,2
"Yolo",6113,2023,43,220544,19.5,12336.9,2
"Yuba",6115,2018,14,78041,17.94,37760.1,4
"Yuba",6115,2019,12,78668,15.25,37760.1,4
"Yuba",6115,2020,17,80160,21.21,37760.1,4
"Yuba",6115,2021,26,83421,31.17,37760.1,4
"Yuba",6115,2022,39,84310,46.26,37760.1,4
"Yuba",6115,2023,33,85722,38.5,37760.1,4
