fips,county,urban_rural_code,urban_rural_label
6001,Alameda,1,Large central metro
6003,Alpine,5,Micropolitan
6005,Amador,6,Noncore
6007,Butte,4,Small metro
6009,Calaveras,6,Noncore
6011,Colusa,6,Noncore
6013,Contra Costa,2,Large fringe metro
6015,Del Norte,5,Micropolitan
6017,El Dorado,2,Large fringe metro
6019,Fresno,1,Large central metro
6021,Glenn,6,Noncore
6023,Humboldt,5,Micropolitan
6025,Imperial,4,Small metro
6027,Inyo,5,Micropolitan
6029,Kern,3,Medium metro
6031,Kings,4,Small metro
6033,Lake,5,Micropolitan
6035,Lassen,5,Micropolitan
6037,Los Angeles,1,Large central metro
6039,Madera,2,Large fringe metro
6041,Marin,2,Large fringe metro
6043,Mariposa,6,Noncore
6045,Mendocino,5,Micropolitan
6047,Merced,3,Medium metro
6049,Modoc,6,Noncore
6051,Mono,6,Noncore
6053,Monterey,3,Medium metro
6055,Napa,4,Small metro
6057,Nevada,5,Micropolitan
6059,Orange,1,Large central metro
6061,Placer,2,Large fringe metro
6063,Plumas,6,Noncore
6065,Riverside,1,Large central metro
6067,Sacramento,1,Large central metro
6069,San Benito,2,Large fringe metro
6071,San Bernardino,2,Large fringe metro
6073,San Diego,1,Large central metro
6075,San Francisco,1,Large central metro
6077,San Joaquin,3,Medium metro
6079,San Luis Obispo,3,Medium metro
6081,San Mateo,2,Large fringe metro
6083,Santa Barbara,3,Medium metro
6085,Santa Clara,1,Large central metro
6087,Santa Cruz,3,Medium metro
6089,Shasta,4,Small metro
6091,Sierra,6,Noncore
6093,Siskiyou,6,Noncore
6095,Solano,3,Medium metro
6097,Sonoma,3,Medium metro
6099,Stanislaus,3,Medium metro
6101,Sutter,4,Small metro
6103,Tehama,5,Micropolitan
6105,Trinity,6,Noncore
6107,Tulare,3,Medium metro
6109,Tuolumne,5,Micropolitan
6111,Ventura,3,Medium metro
6113,Yolo,2,Large fringe metro
6115,Yuba,4,Small metro